date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:55	143099/143099	---MCZ	200	added ('OK')	application/x-shockwave-flash	etag:W/%2257bebb88-22efb%22	http://www.topflyma.com/script/webuploader/Uploader.swf	D:/WebSite/kycmetal/www.topflyma.com/script/webuploader/Uploader.swf	(from http://static.websiteonline.cn/website/plugin/??new_navigation/js/overall.js,new_navigation/styles/hs12/init.js,unslider/js/init.js,media/js/init.js,buttons/js/init.js,new_message_form/js/jquery.pseudo.js,new_message_form/js/init.js?v=17241388)
14:41:56	56310/56310	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jun%202024%2004:08:33%20GMT	http://hkw96a666.pic10.websiteonline.cn/upload/5.jpg	D:/WebSite/kycmetal/hkw96a666.pic10.websiteonline.cn/upload/5.jpg	(from http://www.topflyma.com/About-Us)
14:41:57	3570/3570	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2253edacb2-df2%22	http://static.websiteonline.cn/website/plugin/blocksit/js/jquery_blocksit.js	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/blocksit/js/jquery_blocksit.js	(from http://www.topflyma.com/About-Us)
14:41:58	10679/10679	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226476d88a-29b7%22	http://static.websiteonline.cn/website/plugin/blocksit/js/jquery.lightbox.js?v=1	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/blocksit/js/jquery.lightbox3860.js	(from http://www.topflyma.com/About-Us)
14:41:58	566/566	---M--	200	added ('OK')	text/css	etag:%2259097d20-236%22	http://static.websiteonline.cn/website/plugin/product_category/css/product_category.css?v=14937940	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/product_category/css/product_categoryaa0f.css	(from http://www.topflyma.com/Products)
14:41:59	21811/21811	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Jun%202024%2002:40:34%20GMT	http://www.topflyma.com/bc82edc3bfd2e13ed9dcfc90086df8c8.cssx	D:/WebSite/kycmetal/www.topflyma.com/bc82edc3bfd2e13ed9dcfc90086df8c8.css	(from http://www.topflyma.com/Products)
14:41:59	60936/60936	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2028%20Aug%202024%2005:34:02%20GMT	http://static.websiteonline.cn/website/plugin/??new_navigation/js/overall.js,new_navigation/styles/hs12/init.js,unslider/js/init.js,product_category/js/overall.js,media/js/init.js?v=17248232	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/indexf8d1.html	(from http://www.topflyma.com/Products)
14:42:00	1462/1462	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2253edacb1-5b6%22	http://static.websiteonline.cn/website/plugin/new_navigation/styles/hs10/m_19_VyyP.jpg	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/new_navigation/styles/hs10/m_19_VyyP.jpg	(from http://www.topflyma.com/Products)
14:42:00	45980/45980	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jun%202024%2004:08:33%20GMT	http://hkw96a666.pic10.websiteonline.cn/upload/3.jpg	D:/WebSite/kycmetal/hkw96a666.pic10.websiteonline.cn/upload/3.jpg	(from http://www.topflyma.com/About-Us)
14:42:00	1010/1010	---M--	200	added ('OK')	image/gif	etag:%2259097d5c-3f2%22	http://static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/close.gif	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/close.gif	(from http://www.topflyma.com/Products)
14:42:00	48/48	---M--	200	added ('OK')	image/gif	etag:%2259097d5c-30%22	http://static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/arrow.gif	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/arrow.gif	(from http://www.topflyma.com/Products)
14:42:02	1104/1104	---MCZ	200	added ('OK')	image/gif	etag:W/%2259097d5c-450%22	http://static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/ico_01.gif	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/ico_01.gif	(from http://www.topflyma.com/Products)
14:42:02	11846/11846	---MCZ	200	added ('OK')	image/gif	etag:W/%2259097d5c-2e46%22	http://static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/title.gif	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/title.gif	(from http://www.topflyma.com/Products)
14:42:02	1146/1146	---MCZ	200	added ('OK')	image/gif	etag:W/%2259097d5c-47a%22	http://static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/ico_02.gif	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/ico_02.gif	(from http://www.topflyma.com/Products)
14:42:03	1170/1170	---MCZ	200	added ('OK')	image/gif	etag:W/%2259097d5c-492%22	http://static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/ico_03.gif	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/product_category/view/windowpopup/darkorange/ico_03.gif	(from http://www.topflyma.com/Products)
14:42:03	76693/76693	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jun%202024%2004:08:33%20GMT	http://hkw96a666.pic10.websiteonline.cn/upload/2.jpg	D:/WebSite/kycmetal/hkw96a666.pic10.websiteonline.cn/upload/2.jpg	(from http://www.topflyma.com/About-Us)
14:42:05	43/43	---M--	200	added ('OK')	image/gif	etag:%2253edacb3-2b%22	http://static.websiteonline.cn/website/template/default/images/blank.gif	D:/WebSite/kycmetal/static.websiteonline.cn/website/template/default/images/blank.gif	(from http://www.topflyma.com/Products)
14:42:06	77427/77427	---MCZ	200	added ('OK')	text/html	etag:W/%223a22ea3e9630ba80a17dd004294dd5e4%22	http://www.topflyma.com/PRODUCTS-MORE?product_id=9	D:/WebSite/kycmetal/www.topflyma.com/PRODUCTS-MORE49f8.html	(from http://www.topflyma.com/Products)
14:42:07	77522/77522	---MCZ	200	added ('OK')	text/html	etag:W/%22257ebe501c9dc64f388ebbd7065c3e35%22	http://www.topflyma.com/PRODUCTS-MORE?product_id=8	D:/WebSite/kycmetal/www.topflyma.com/PRODUCTS-MORE04f2.html	(from http://www.topflyma.com/Products)
14:42:09	77532/77532	---MCZ	200	added ('OK')	text/html	etag:W/%224b6944872f620abf727bf6fcb79d5564%22	http://www.topflyma.com/PRODUCTS-MORE?product_id=7	D:/WebSite/kycmetal/www.topflyma.com/PRODUCTS-MOREd3a2.html	(from http://www.topflyma.com/Products)
14:42:12	77516/77516	---MCZ	200	added ('OK')	text/html	etag:W/%22b3146630cc5ddc4cee5c38df40accdb7%22	http://www.topflyma.com/PRODUCTS-MORE?product_id=6	D:/WebSite/kycmetal/www.topflyma.com/PRODUCTS-MOREab74.html	(from http://www.topflyma.com/Products)
14:42:13	77532/77532	---MCZ	200	added ('OK')	text/html	etag:W/%228f65928c18075d58f7b296e7ef0bfb94%22	http://www.topflyma.com/PRODUCTS-MORE?product_id=5	D:/WebSite/kycmetal/www.topflyma.com/PRODUCTS-MOREe1ef.html	(from http://www.topflyma.com/Products)
14:42:14	77524/77524	---MCZ	200	added ('OK')	text/html	etag:W/%22bcf1323bcbfcc844b466e8b6fcebed13%22	http://www.topflyma.com/PRODUCTS-MORE?product_id=4	D:/WebSite/kycmetal/www.topflyma.com/PRODUCTS-MORE1792.html	(from http://www.topflyma.com/Products)
14:42:19	77434/77434	---MCZ	200	added ('OK')	text/html	etag:W/%22b4e4f121bde2a08f04e10615be223a79%22	http://www.topflyma.com/PRODUCTS-MORE?product_id=3	D:/WebSite/kycmetal/www.topflyma.com/PRODUCTS-MOREbe88.html	(from http://www.topflyma.com/Products)
14:42:21	18107/18107	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Jun%202024%2002:43:07%20GMT	http://www.topflyma.com/f2bd055b893ccc2bb60c96294b00d7ca.cssx	D:/WebSite/kycmetal/www.topflyma.com/f2bd055b893ccc2bb60c96294b00d7ca.css	(from http://www.topflyma.com/Application)
14:42:22	19865/19865	---MCZ	200	added ('OK')	text/css	etag:W/%2253edacb2-4d99%22	http://static.websiteonline.cn/website/plugin/shopping_cart/css/shopping_cart.css	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/shopping_cart/css/shopping_cart.css	(from http://www.topflyma.com/Application)
14:42:22	25106/25106	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Jun%202024%2004:46:32%20GMT	http://www.topflyma.com/0666a354676fc1fe350bb127db0ab025.cssx	D:/WebSite/kycmetal/www.topflyma.com/0666a354676fc1fe350bb127db0ab025.css	(from http://www.topflyma.com/Contact-Us)
14:42:23	79946/79946	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2020%20Aug%202024%2007:28:04%20GMT	http://static.websiteonline.cn/website/plugin/??new_navigation/js/overall.js,new_navigation/styles/hs12/init.js,unslider/js/init.js,media/js/init.js,new_message_form/js/jquery.pseudo.js,new_message_form/js/init.js?v=17241388	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/index3e4a.html	(from http://www.topflyma.com/Contact-Us)
14:42:24	60296/60296	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2020%20Aug%202024%2007:28:04%20GMT	http://static.websiteonline.cn/website/plugin/??new_navigation/js/overall.js,new_navigation/styles/hs12/init.js,unslider/js/init.js,article_list/js/init.js,media/js/init.js?v=17241388	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/indexa42c.html	(from http://www.topflyma.com/Application)
14:42:34	18571/18571	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d0c7a59-488b%22	http://www.topflyma.com/script/datepicker/custom_dialog.js	D:/WebSite/kycmetal/www.topflyma.com/script/datepicker/custom_dialog.js	(from http://www.topflyma.com/Products)
14:42:35	1291/1291	---MCZ	200	added ('OK')	image/png	etag:W/%225e4ccc8a-50b%22	https://static.websiteonline.cn/website/template/default/images/materials/4_nzwa.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/template/default/images/materials/4_nzwa.png	(from http://www.topflyma.com/Contact-Us)
14:42:35	1862/1862	---MCZ	200	added ('OK')	image/png	etag:W/%225e4ccc8a-746%22	https://static.websiteonline.cn/website/template/default/images/materials/3_rlxu.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/template/default/images/materials/3_rlxu.png	(from http://www.topflyma.com/Contact-Us)
14:42:36	1307/1307	---MCZ	200	added ('OK')	text/css	etag:W/%22626b7d7a-51b%22	http://static.websiteonline.cn/website/plugin/article_detail/css/article_detail.css?v=16512116	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/css/article_detaild8ef.css	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:36	1119/1119	---MCZ	200	added ('OK')	image/png	etag:W/%225e4ccc8a-45f%22	https://static.websiteonline.cn/website/template/default/images/materials/2_31uu.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/template/default/images/materials/2_31uu.png	(from http://www.topflyma.com/Contact-Us)
14:42:40	13033/13033	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Jun%202024%2003:43:20%20GMT	http://www.topflyma.com/32404a95acae92b70099a2abd009e35c.cssx	D:/WebSite/kycmetal/www.topflyma.com/32404a95acae92b70099a2abd009e35c.css	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:41	1055/1055	---MCZ	200	added ('OK')	image/png	etag:W/%225a1e13ec-41f%22	http://static.websiteonline.cn/website/plugin/tb_product_detail/styles/defaultn/images/sitestar_productdetailspage_up_arrow.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/tb_product_detail/styles/defaultn/images/sitestar_productdetailspage_up_arrow.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:42	1042/1042	---MCZ	200	added ('OK')	image/png	etag:W/%225a1e13ec-412%22	http://static.websiteonline.cn/website/plugin/tb_product_detail/styles/defaultn/images/sitestar_productdetailspage_down_arrow.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/tb_product_detail/styles/defaultn/images/sitestar_productdetailspage_down_arrow.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:42	1419/1419	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-58b%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tsinaa.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tsinaa.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:42	1325/1325	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-52d%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tsina.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_tsina.png	(from http://www.topflyma.com/Application-more?article_id=7)
14:42:42	1356/1356	---MCZ	200	added ('OK')	image/png	etag:W/%225ac1cf50-54c%22	http://static.websiteonline.cn/website/plugin/article_detail/view/images/sha_sqqa.png	D:/WebSite/kycmetal/static.websiteonline.cn/website/plugin/article_detail/view/images/sha_sqqa.png	(from http://www.topflyma.com/Application-more?article_id=7)
